image_class,image_paths
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5561_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1613_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5513_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7050_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5715_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5746_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9796_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\8646_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3780_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5303_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4774_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3979_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2673_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6184_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9291_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4265_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5732_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2494_BH_4.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9159_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1049_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7483_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1487_42Торец.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\8856_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2620_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4434_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11658_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5646_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1633_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7732_BH_4.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9983_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11760_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2007_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9978_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4094_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7354_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\398_Compare.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1767_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\16903_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9096_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8130_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\18028_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4364_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19240_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\5969_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9399_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7926_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4456_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7300_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13106_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5304_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8766_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8782_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3079_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8803_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\178_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2092_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19928_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\3335_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3697_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1320_BH_5.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6247_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\4834_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2654_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9159_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\2181_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\11207_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7976_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7450_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\12613_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9129_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\17157_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\4462_53БОвверх.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7853_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\12991_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4363_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\6925_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7983_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8128_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\400_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1852_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7783_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\7357_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\9213_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8294_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\6338_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\4988_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2780_42БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\153_BH_4.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8937_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\13195_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2317_42Торец.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7931_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4392_42БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\1558_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5691_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4642_БОпритертый.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7264_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3548_42Торец.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5307_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\799_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19584_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\17637_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\8046_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\14992_BH.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5714_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\9523_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\1544_BH_5.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4174_BH.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\7871_53БО.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\5375_BH_3.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\4362_BH_3.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\8065_53БО.tiff
1,D:\datasets\avikon_03\learnset\21-12-14\test\53\4469_53БОвверх.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\3679_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\2466_БОпритертый.tiff
0,D:\datasets\avikon_03\learnset\21-12-14\test\42\19795_BH.tiff
